Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
К ВОПРОСУ УТИЛИЗАЦИИ СВАЛОК МЕТОДОМ АЭРОБНОГО БИОРЕАКТОРА,"Агапкин Александр Матвеевич, Махотина Ирина Алексеевна, Юрина Ольга Валерьевна",Хранение и переработка сельхозсырья,2020,Экологические биотехнологии,"свалка, биореактор, аэробные микроорганизмы, органические отходы, утилизация, окружающая среда, экологические проблемы","landfill, bioreactor, aerobic microorganisms, organic waste, recycling, environment, environmental problems","Обосновывается постановка новой научной и производственной задачи трансформации содержащих органическое вещество свалок в управляемые аэробные биоректоры с целью: (а) устранения в теле свалки анаэробного гниения, порождающего зловонные запахи, пожароопасный свалочный газ и другие вредные последствия анаэробных условий и (б) создание контролируемых аэробных условий для ускоренной экологически безопасной трансформации органического вещества в неопасное состояние для последующей возможности утилизации всего материала свалки с ее ликвидацией или использования ставшей не опасной свалки в качестве элемента рельефа. Формулируется междисциплинарный подход к обоснованию режимов и параметров свалки-биореактора на основе сочетания методов моделирования тепломассопереноса в теле свалки со сложной морфологией, неоднородной проницаемостью на протяжении всего ее жизненного цикла и методов сопряженных микробиологических исследований оптимального состава целевого сообщества популяций микроорганизмов и требований к условиям для их жизнедеятельности в теле свалки (влажность, температура, концентрация кислорода). Учтен опыт США по созданию и эксплуатации свалок-биоректоров. Приводится план действий по реализации пилотного проекта, который может стать прототипом для утилизации свалок методом аэробного биореактора, и на этой основе решение в короткие сроки и с низкими затратами острых экологической и земельной проблем, вызванных созданными ранее и вновь создаваемыми свалками в различных регионах страны.","Агапкин Александр Матвеевич, Махотина Ирина Алексеевна, Юрина Ольга Валерьевна К ВОПРОСУ УТИЛИЗАЦИИ СВАЛОК МЕТОДОМ АЭРОБНОГО БИОРЕАКТОРА // Хранение и переработка сельхозсырья. 2020. №2. URL: https://cyberleninka.ru/article/n/k-voprosu-utilizatsii-svalok-metodom-aerobnogo-bioreaktora (дата обращения: 25.10.2024).","Агапкин Александр Матвеевич, Махотина Ирина Алексеевна, & Юрина Ольга Валерьевна (2020). К ВОПРОСУ УТИЛИЗАЦИИ СВАЛОК МЕТОДОМ АЭРОБНОГО БИОРЕАКТОРА. Хранение и переработка сельхозсырья,  (2), 133-142.",https://cyberleninka.ru/article/n/k-voprosu-utilizatsii-svalok-metodom-aerobnogo-bioreaktora
ЭФФЕКТИВНОСТЬ ИСПОЛЬЗОВАНИЯ ВЕЧНОЗЕЛЁНЫХ РАСТЕНИЙ В КАЧЕСТВЕ ТЕСТ-ОБЪЕКТОВ СОЦИАЛЬНО-ГИГИЕНИЧЕСКОГО МОНИТОРИНГА ПРОМЫШЛЕННОГО ГОРОДА,"Скупневский Сергей Валерьевич, Ракитский В.Н., Синицкая Т.А., Николаев И.А., Цагаева В.В.",Гигиена и санитария,2020,Экологические биотехнологии,"антропотехногенное загрязнение, вечнозелёные растения, риски для здоровья, социально-гигиенический мониторинг, тяжёлые металлы","anthropogenic pollution, bioaccumulation, evergreens, health risks, heavy metals","Введение. Применение эффективных растительных тест-объектов в социально-гигиеническом мониторинге позволяет получать интегральную оценку антропотехногенного воздействия на начальное звено трофической цепи, что способствует принятию мер по снижению рисков для здоровья человека. Цель - научное обоснование эффективности использования вечнозелёных растений в качестве тест-систем при осуществлении социально-гигиенического мониторинга приоритетных загрязнителей окружающей среды - тяжёлых металлов. Материал и методы. Исследования проведены в г. Владикавказе, где расположены заводы «Электроцинк» (Pb - Zn - Cd производство), «Победит» (W - Mo - Re - Co производство), «Газоаппарат» (гальванопокрытия), «Кристалл» (производство медно-никелевых сплавов) и др. Объектами исследования служили три наиболее представленных вида вечнозелёных растений: ель обыкновенная, ель колючая и туя западная, которые находят широкое применение в озеленении городов. С деревьев отбирали молодую и старую хвою. Места сбора соответствовали условно чистым районам и районам с повышенной антропогенной нагрузкой. Содержание тяжёлых металлов определяли на пламенном атомно-абсорбционном спектрометре «Квант-2А». Вычисляли среднее значение и стандартную ошибку среднего, коэффициент корреляции Пирсона. Результаты. Вне зависимости от мест сбора материала во всех видах растений выявлены тяжёлые металлы в концентрациях: Cd 0,035-2,0; Pb 0,34-19,7; Cu 0,006-4,48; Zn 0,014-449,1 мг/кг. Доказано, что виды обладают схожей тропностью к одним и тем же элементам (коэффициенты корреляции от 0,78 до 0,91); накопление металлов в старой хвое относительно молодой характеризуется прямой зависимостью для Zn > Pb > Cd (kZn 1,71, kPb 1,58 kCd 1,27) и обратной для меди (kCu 0,96). Заключение. Закономерности биоаккумулирования тяжёлых металлов в тканях вечнозелёных растений отражают степень антропотехногенного воздействия на окружающую среду и определяют перспективность использования ели обыкновенной, ели колючей и туи западной в качестве чувствительного индикатора для оценки безопасности растительных объектов.","Скупневский Сергей Валерьевич, Ракитский В. Н., Синицкая Т. А., Николаев И. А., Цагаева В. В. ЭФФЕКТИВНОСТЬ ИСПОЛЬЗОВАНИЯ ВЕЧНОЗЕЛЁНЫХ РАСТЕНИЙ В КАЧЕСТВЕ ТЕСТ-ОБЪЕКТОВ СОЦИАЛЬНО-ГИГИЕНИЧЕСКОГО МОНИТОРИНГА ПРОМЫШЛЕННОГО ГОРОДА // Гигиена и санитария. 2020. №7. URL: https://cyberleninka.ru/article/n/effektivnost-ispolzovaniya-vechnozelyonyh-rasteniy-v-kachestve-test-obektov-sotsialno-gigienicheskogo-monitoringa-promyshlennogo (дата обращения: 25.10.2024).","Скупневский Сергей Валерьевич, Ракитский В.Н., Синицкая Т.А., Николаев И.А., & Цагаева В.В. (2020). ЭФФЕКТИВНОСТЬ ИСПОЛЬЗОВАНИЯ ВЕЧНОЗЕЛЁНЫХ РАСТЕНИЙ В КАЧЕСТВЕ ТЕСТ-ОБЪЕКТОВ СОЦИАЛЬНО-ГИГИЕНИЧЕСКОГО МОНИТОРИНГА ПРОМЫШЛЕННОГО ГОРОДА. Гигиена и санитария, 99 (7), 669-673.",https://cyberleninka.ru/article/n/effektivnost-ispolzovaniya-vechnozelyonyh-rasteniy-v-kachestve-test-obektov-sotsialno-gigienicheskogo-monitoringa-promyshlennogo
Биологическая активность и устойчивость микробного сообщества рекультивированных почв при разном остаточном содержании нефтепродуктов,"Каримуллин Л.К., Петров А.М., Вершинин А.А., Князев И.В.",Российский журнал прикладной экологии,2020,Экологические биотехнологии,"нефтяное загрязнение, базальное дыхание, субстрат-индуцированное дыхание, коэффициент микробного дыхания, устойчивость почв","oil pollution, basal respiration, substrate-induced respiration, coefficient of microbial respiration, soil stability","Исследована биологическая активность различных типов рекультивированных нефтезагрязненных почв. При остаточном содержании нефтепродуктов до 8 г/кг во всех почвах фиксировался повышенный уровень базального дыхания. Микробные сообщества почв обладали способностью к преодолению негативного действия высоких концентраций нефтепродуктов. Из 24 образцов почв с максимальным остаточным содержанием нефтепродуктов в 2 выявлено сильное воздействие на устойчивость микробного пула, в 16 среднее и в 4 слабое воздействие. В 2 почвах какое либо влияние поллютанта на микрофлору не выявлено. Показано, что однотипные почвы, отобранные в разных регионах, обладали разной способностью восстановления своих свойств после загрязнения нефтью.","Каримуллин Л. К., Петров А. М., Вершинин А. А., Князев И. В. Биологическая активность и устойчивость микробного сообщества рекультивированных почв при разном остаточном содержании нефтепродуктов // Российский журнал прикладной экологии. 2020. №1 (21). URL: https://cyberleninka.ru/article/n/biologicheskaya-aktivnost-i-ustoychivost-mikrobnogo-soobschestva-rekultivirovannyh-pochv-pri-raznom-ostatochnom-soderzhanii (дата обращения: 25.10.2024).","Каримуллин Л.К., Петров А.М., Вершинин А.А., & Князев И.В. (2020). Биологическая активность и устойчивость микробного сообщества рекультивированных почв при разном остаточном содержании нефтепродуктов. Российский журнал прикладной экологии,  (1 (21)), 52-59. doi: 10.24411/2411-7374-2020-00002",https://cyberleninka.ru/article/n/biologicheskaya-aktivnost-i-ustoychivost-mikrobnogo-soobschestva-rekultivirovannyh-pochv-pri-raznom-ostatochnom-soderzhanii
Применение высшей водной растительности для доочистки сточных вод аэропортов,"Николайкина Наталья Евгеньевна, Николайкин Николай Иванович",Научный вестник Московского государственного технического университета гражданской авиации,2020,Экологические биотехнологии,"аэропорт, защита окружающей среды, сточные воды, взвешенные вещества, нефтепродукты, биологическая очистка, водный гиацинт, утилизация биомассы","airport, environmental protection, wastewater, suspended materials, petrochemicals, biological purification, aquatic hyacinth, biomass recycling","Показано, что при росте авиаперевозок необходимо повышать эффективность очистки ливневых и талых сточных вод с территории аэропортов и прочих авиапредприятий. Предлагается для защиты окружающей среды от сбросов загрязнений аэропортов в природные водоёмы использовать высшую водную растительность. Для дополнительной стадии финальной очистки предлагается применить водный гиацинт - эйхорнию. Дается обоснование выбора растения, описаны его основные характеристики и механизм извлечения загрязнений из водной среды в процессе метаболизма. Приводится методика экспериментов по определению эффективности биологической очистки сточных вод в условиях Центральной полосы России на примере Подмосковья. Даны результаты измерения концентраций взвешенных веществ и нефтепродуктов в воде до и после очистки в прудах-отстойниках. Показана эффективность биологической очистки. Отмечена возможность использования водного гиацинта и для очистки отдельных поверхностных водоёмов. Для круглогодичного использования растений на открытых очистных сооружениях рекомендовано применять защитные конструкции (укрытия), тогда в защищённых условиях процессы метаболизма могут протекать в корневище, стеблях и листьях растения даже в осенне-зимний период. Предложено отработанную биомассу в коммерческих целях утилизировать как добавку к корму скота при соблюдении определенных условий, которые сформулированы. Приведен алгоритм сохранения саженцев в холодный период года и последующей высадки их в водоемы весной. Применение способа биологической доочистки водным гиацинтом экономически целесообразно, однако требуется соблюдать необычные меры экологической безопасности, которые предложены. Подчеркнута целесообразность дальнейших перспективных работ по созданию специализированных экосистем с участием высшей водной растительности, для природоподобной комплексной очистки отдельных видов сточных вод.","Николайкина Наталья Евгеньевна, Николайкин Николай Иванович Применение высшей водной растительности для доочистки сточных вод аэропортов // Научный вестник МГТУ ГА. 2020. №3. URL: https://cyberleninka.ru/article/n/primenenie-vysshey-vodnoy-rastitelnosti-dlya-doochistki-stochnyh-vod-aeroportov (дата обращения: 25.10.2024).","Николайкина Наталья Евгеньевна, & Николайкин Николай Иванович (2020). Применение высшей водной растительности для доочистки сточных вод аэропортов. Научный вестник Московского государственного технического университета гражданской авиации, 23 (3), 73-82.",https://cyberleninka.ru/article/n/primenenie-vysshey-vodnoy-rastitelnosti-dlya-doochistki-stochnyh-vod-aeroportov
Обеспечение экологической безопасности на объектах коммунального хозяйства,"Стукалина Ю. Н., Боронина Л. В., Давыдова Е. В., Мурзаева Э. К., Лукичева И. В.",Инженерно-строительный вестник Прикаспия,2020,Экологические биотехнологии,"газоочистные установки, адсорбция, фотосорбционно-каталитическая, деструктор озона, лампы ультрафиолетового обеззараживания, дурнопахнущие вещества",,"Эксплуатация системы канализации -сложный технологический процесс, в результате которого естественным образом появляются побочные эффекты в виде дурнопахнущих выбросов в атмосферу. Они состоят из образующихся в процессе очистки стоков и меркаптанов, сероводорода, аммиака, аминов и других соединений. Неприятные запахи выделяются от точечных источников, таких как:канализационные насосные станции, вентиляционные вытяжки каналов и коллекторов. Также проблема запахов стоит на очистных сооружениях и связана с большими площадями поверхностных открытых технологических сооружений. Частоканализациионные объекты, находясь в кольце плотной городской застройки, создают бискомфортные условия проживания населения. Работа по предотвращению негативного влияния на городскую застройку дурнопахнущих выбросов включает два этапа: сбор загрязненного воздуха и его последующую очистку.Авторами в статье рассматривается вопрос удаления дурнопахнущих веществ от сточных вод, поступающих на очистные сооружения канализации города Астрахани на примере двух газоочистных установок. Сложность подбора оборудования для газоочистки на сооружениях канализации обусловлена тем, что вентиляционный воздух характеризуется залповой нестабильной концентрацией по сероводороду, большой влажностью и дисперсными включениями. Выбраны типы и варианты размещения установок отечественного производства для очистки вентиляционных выбросов от очистных и других канализационных сооружений.","Стукалина Ю. Н., Боронина Л. В., Давыдова Е. В., Мурзаева Э. К., Лукичева И. В. Обеспечение экологической безопасности на объектах коммунального хозяйства // Инженерно-строительный вестник Прикаспия. 2020. №3 (33). URL: https://cyberleninka.ru/article/n/obespechenie-ekologicheskoy-bezopasnosti-na-obektah-kommunalnogo-hozyaystva (дата обращения: 25.10.2024).","Стукалина Ю. Н., Боронина Л. В., Давыдова Е. В., Мурзаева Э. К., & Лукичева И. В. (2020). Обеспечение экологической безопасности на объектах коммунального хозяйства. Инженерно-строительный вестник Прикаспия,  (3 (33)), 31-34.",https://cyberleninka.ru/article/n/obespechenie-ekologicheskoy-bezopasnosti-na-obektah-kommunalnogo-hozyaystva
Анализ машин для очистки корнеклубнеплодов,"Сабиев У.К., Хузин И.Р.",Вестник Омского государственного аграрного университета,2020,Экологические биотехнологии,"корнеклубнеплод, очистка, очиститель, щеточный барабан, примеси","root crops, cleaning, cleaner, brush drums, impurities","Животноводство является одной из главных отраслей сельского хозяйства. Для достижения высоких показателей в животноводстве необходимо создание рациональной, сбалансированной и прочной кормовой базы. Большое значение имеет внедрение и совершенствование механизации и автоматизации производственных процессов, в том числе переработки кормов. В настоящее время при их приготовлении используются различные кормовые смеси с таким компонентом, как кормовые корнеплоды. Однако перед скармливанием их необходимо предварительно очистить от загрязнений. Применение машин для сухой очистки корнеплодов снижает энерго- и трудозатраты, а также экономически выгодно по сравнению с очистителями с гидромеханическим принципом очистки корнеклубнеплодов. Рассмотрены недостатки наиболее распространенного гидромеханического способа. Выявлены достоинства и недостатки конструкций очистителей, принцип действия которых основан на механическом воздействии. Обосновано малое распространение шнековых очистителей в машинах для послеуборочной обработки, несмотря на их широкое применение в предварительных очистительных устройствах корнеуборочных машин. Приведена оценка эффективности применения щеточных рабочих органов на основе упругих элементов, в частности, щеточных. Обоснована эффективность очистки при совместном вибрационном воздействии щеточных рабочих органов на поверхность корнеклубнеплода. Существующие устройства для безводной очистки не могут обеспечить необходимое качество, допуская повреждения корнеклубнеплодов выше допустимой нормы, либо они конструктивно сложны и ненадежны. Поэтому разработка устройств без указанных недостатков - актуальная задача агропромышленного производства.","Сабиев У. К., Хузин И. Р. Анализ машин для очистки корнеклубнеплодов // Вестник ОмГАУ. 2020. №2 (38). URL: https://cyberleninka.ru/article/n/analiz-mashin-dlya-ochistki-korneklubneplodov (дата обращения: 25.10.2024).","Сабиев У.К., & Хузин И.Р. (2020). Анализ машин для очистки корнеклубнеплодов. Вестник Омского государственного аграрного университета,  (2 (38)), 188-195.",https://cyberleninka.ru/article/n/analiz-mashin-dlya-ochistki-korneklubneplodov
ИСПОЛЬЗОВАНИЕ ЭКОЛОГИЧЕСКИ ЧИСТЫХ ТЕХНОЛОГИЙ В УТИЛИЗАЦИИ ГОРОДСКИХ ПИЩЕВЫХ ОТХОДОВ,"Массеров Дмитрий Александрович, Ломакин Андрей Владимирович, Черкасов Дмитрий Викторович",Современные проблемы территориального развития,2020,Экологические биотехнологии,"отходы, окружающая среда, продукты, система, городское население","waste, environment, products, system, urban population","Использование экологически чистых технологий способствует решению проблемы утилизации городских пищевых отходов. Преобразование городских цепочек поставок продовольствия создает многочисленные преимущества для устойчивого развития в условиях ожидаемого роста городов. Продовольственные системы могут служить базой для изучения взаимодействия других городских систем. Преобразования в этой сфере потребуют параллельных инноваций в энергетической инфраструктуре, транспорте, системах водоснабжения, управлении, образовании, общественных инициативах и бизнес-моделях.","Массеров Дмитрий Александрович, Ломакин Андрей Владимирович, Черкасов Дмитрий Викторович ИСПОЛЬЗОВАНИЕ ЭКОЛОГИЧЕСКИ ЧИСТЫХ ТЕХНОЛОГИЙ В УТИЛИЗАЦИИ ГОРОДСКИХ ПИЩЕВЫХ ОТХОДОВ // Современные проблемы территориального развития. 2020. №1. URL: https://cyberleninka.ru/article/n/ispolzovanie-ekologicheski-chistyh-tehnologiy-v-utilizatsii-gorodskih-pischevyh-othodov (дата обращения: 25.10.2024).","Массеров Дмитрий Александрович, Ломакин Андрей Владимирович, & Черкасов Дмитрий Викторович (2020). ИСПОЛЬЗОВАНИЕ ЭКОЛОГИЧЕСКИ ЧИСТЫХ ТЕХНОЛОГИЙ В УТИЛИЗАЦИИ ГОРОДСКИХ ПИЩЕВЫХ ОТХОДОВ. Современные проблемы территориального развития,  (1), 7.",https://cyberleninka.ru/article/n/ispolzovanie-ekologicheski-chistyh-tehnologiy-v-utilizatsii-gorodskih-pischevyh-othodov
ГИДРОХИМИЧЕСКИЕ И ЭКОЛОГИЧЕСКИЕ АСПЕКТЫ ИССЛЕДОВАНИЙ СВОЙСТВ МНОГОКОМПОНЕНТНЫХ СТОКОВ ПРОМЫШЛЕННЫХ ПРЕДПРИЯТИЙ,"Загорская Елизавета Павловна, Трифонов Владимир Валерьевич",Глобус,2020,Экологические биотехнологии,,,,"Загорская Елизавета Павловна, Трифонов Владимир Валерьевич ГИДРОХИМИЧЕСКИЕ И ЭКОЛОГИЧЕСКИЕ АСПЕКТЫ ИССЛЕДОВАНИЙ СВОЙСТВ МНОГОКОМПОНЕНТНЫХ СТОКОВ ПРОМЫШЛЕННЫХ ПРЕДПРИЯТИЙ // Глобус. 2020. №6 (52). URL: https://cyberleninka.ru/article/n/gidrohimicheskie-i-ekologicheskie-aspekty-issledovaniy-svoystv-mnogokomponentnyh-stokov-promyshlennyh-predpriyatiy (дата обращения: 25.10.2024).","Загорская Елизавета Павловна, & Трифонов Владимир Валерьевич (2020). ГИДРОХИМИЧЕСКИЕ И ЭКОЛОГИЧЕСКИЕ АСПЕКТЫ ИССЛЕДОВАНИЙ СВОЙСТВ МНОГОКОМПОНЕНТНЫХ СТОКОВ ПРОМЫШЛЕННЫХ ПРЕДПРИЯТИЙ. Глобус,  (6 (52)), 14-18.",https://cyberleninka.ru/article/n/gidrohimicheskie-i-ekologicheskie-aspekty-issledovaniy-svoystv-mnogokomponentnyh-stokov-promyshlennyh-predpriyatiy
Особенности хранения плодородного слоя почвы при проведении рекультивации,"Ищенко Евгений Павлович, Дмитриева Яна Владимировна",Экспозиция Нефть Газ,2020,Экологические биотехнологии,"рекультивация, хранение плодородного слоя почвы","recultivation, storage of the fertile soil layer","В статье представлен аналитический обзор вопроса деградации плодородного слоя при его хранении в отвале во время проведения рекультивационных работ. Проведена оценка воздействия условий окружающей среды на плодородный слой почвы во время его хранения. Проанализированы требования действующих нормативов, регламентов и стандартов по хранению плодородного слоя почвы. Предложен комплекс мероприятий по предотвращению деградации плодородного слоя почвы.","Ищенко Евгений Павлович, Дмитриева Яна Владимировна Особенности хранения плодородного слоя почвы при проведении рекультивации // Экспозиция Нефть Газ. 2020. №5 (78). URL: https://cyberleninka.ru/article/n/osobennosti-hraneniya-plodorodnogo-sloya-pochvy-pri-provedenii-rekultivatsii (дата обращения: 25.10.2024).","Ищенко Евгений Павлович, & Дмитриева Яна Владимировна (2020). Особенности хранения плодородного слоя почвы при проведении рекультивации. Экспозиция Нефть Газ,  (5 (78)), 80-83. doi: 10.24411/2076-6785-2020-10105",https://cyberleninka.ru/article/n/osobennosti-hraneniya-plodorodnogo-sloya-pochvy-pri-provedenii-rekultivatsii
СОДЕРЖАНИЕ ТЯЖЕЛЫХ МЕТАЛЛОВ В ПОЧВАХ ПЕТРОПАВЛОВСКА-КАМЧАТСКОГО (КАМЧАТСКИЙ КРАЙ) В 2017-2018 ГГ,"Авдощенко В.Г., Климова А.В.",Вестник Камчатского государственного технического университета,2020,Экологические биотехнологии,"медь, металлическое загрязнение, петропавловск-камчатский, свинец, почва, тяжелые металлы, урбанизированные территории, цинк","copper, metal pollution, petropavlovsk-kamchatsky, lead, soil, heavy metals, urbanized territories, zinc","В работе представлены результаты определения содержания цинка, меди и свинца в почвенном покрове территорий г. Петропавловка-Камчатского в летний период 2017-2018 гг. Валовое содержание меди в почвах города существенно не отличалось от геохимического фона юго-восточной Камчатки. В 2017-2018 гг. ее концентрация варьировала в диапазоне от 12,68 мг/кг до 42,36 мг/кг. Наибольшее содержание меди в 2017 г. было выявлено в районе «Автостанция 10-й км», в 2018 г. - «Ботанический переулок». Наименьшее ее содержание в 2017 г. и в 2018 г. отмечено в районе «Стадион “Спартак”». Содержание цинка в почвах города в 2017-2018 гг. изменялось в пределах 7,03-64,54 мг/кг. Наибольшее его содержание в 2017 г. было выявлено в районе «Краевая библиотека», в 2018 г. -«Госпиталь». В 2017 г. район «Стадион “Спартак”» характеризовался наименьшим содержанием цинка, в 2018 г. - «Автостанция 10-й км». Для всех исследуемых районов, исключая фоновый участок, отмечено значительное превышение геохимического фона свинца. Диапазон его содержания в 2017-2018 гг. составлял 8,80-309,80 мг/кг. Среди районов наибольшая концентрация свинца наблюдалась на участках: «Госпиталь» (2017 г.) и «Ботанический переулок» (2018 г.), наименьшая -«Стадион “Спартак”» (2017 г.) и «Автостанция 10-й км» (2018 г.).","Авдощенко В. Г., Климова А. В. СОДЕРЖАНИЕ ТЯЖЕЛЫХ МЕТАЛЛОВ В ПОЧВАХ ПЕТРОПАВЛОВСКА-КАМЧАТСКОГО (КАМЧАТСКИЙ КРАЙ) В 2017-2018 ГГ // Вестник КамчатГТУ. 2020. №52. URL: https://cyberleninka.ru/article/n/soderzhanie-tyazhelyh-metallov-v-pochvah-petropavlovska-kamchatskogo-kamchatskiy-kray-v-2017-2018-gg (дата обращения: 25.10.2024).","Авдощенко В.Г., & Климова А.В. (2020). СОДЕРЖАНИЕ ТЯЖЕЛЫХ МЕТАЛЛОВ В ПОЧВАХ ПЕТРОПАВЛОВСКА-КАМЧАТСКОГО (КАМЧАТСКИЙ КРАЙ) В 2017-2018 ГГ. Вестник Камчатского государственного технического университета,  (52), 50-63.",https://cyberleninka.ru/article/n/soderzhanie-tyazhelyh-metallov-v-pochvah-petropavlovska-kamchatskogo-kamchatskiy-kray-v-2017-2018-gg
БИОЛОГИЧЕСКАЯ ОЧИСТКА СТОЧНЫХ ВОД ФАБРИКИ ПО ПЕРЕРАБОТКЕ МАКУЛАТУРЫ,Феофанов Ю. А.,Вода и экология: проблемы и решения,2020,Экологические биотехнологии,"фабрика по переработке макулатуры, сточные воды бумажной фабрики, биологическая очистка, биореакторы с плавающей загрузкой, аэротенки","waste paper recycling plant, paper mill wastewater, biological wastewater treatment, moving bed biofilm reactors, aeration tanks","Введение. Характерной особенностью сточных вод фабрик по переработке макулатуры являются существенные колебания расхода и состава, высокое содержание нерастворенных и растворенных веществ (в частности, крахмала, волокна, диспергированных термопластичных и других веществ). Локальная очистка этих стоков позволяет снизить концентрацию нерастворенных и части растворенных загрязнений и повторно использовать ценные вещества и очищенную воду в производстве. Однако значительное количество растворенных загрязнений сбрасывается фабриками на внеплощадочные станции биологической очистки. Для очистки этих стоков используются биореакторы со свободно плавающим активным илом (аэротенки), а также биореакторы с прикрепленной биомассой. Методы. Целью работы было определение расходов и состава сточных вод, сбрасываемых фабрикой по переработке макулатуры, технологических параметров и эффективности работы сооружений биологической очистки, включающих биореактор с плавающей загрузкой и аэротенки. Технологический контроль за работой очистных сооружений осуществлялся с помощью инструментальных замеров и лабораторных анализов, проводимых по стандартным методикам. Результаты. В статье рассмотрены результаты работы сооружений биологической очистки сточных вод бумажной фабрики, использующей в качестве исходного сырья макулатуру различных сортов. Определены основные характеристики работы сооружений биологической очистки сточных вод. Получены зависимости окислительной мощности от нагрузки по органическим загрязнениям для биореактора с подвижной загрузкой (первая ступень) и аэротенков (вторая ступень биологической очистки сточных вод). Предложены меры по повышению производительности существующих очистных сооружений и эффективности их работы.",Феофанов Ю. А. БИОЛОГИЧЕСКАЯ ОЧИСТКА СТОЧНЫХ ВОД ФАБРИКИ ПО ПЕРЕРАБОТКЕ МАКУЛАТУРЫ // Вода и экология: проблемы и решения. 2020. №3 (83). URL: https://cyberleninka.ru/article/n/biologicheskaya-ochistka-stochnyh-vod-fabriki-po-pererabotke-makulatury (дата обращения: 25.10.2024).,"Феофанов Ю. А. (2020). БИОЛОГИЧЕСКАЯ ОЧИСТКА СТОЧНЫХ ВОД ФАБРИКИ ПО ПЕРЕРАБОТКЕ МАКУЛАТУРЫ. Вода и экология: проблемы и решения,  (3 (83)), 14-21.",https://cyberleninka.ru/article/n/biologicheskaya-ochistka-stochnyh-vod-fabriki-po-pererabotke-makulatury
КОМПЛЕКСНОЕ ОБЕСПЕЧЕНИЕ ТЕХНОЛОГИЧЕСКОГО РАЗВИТИЯ ЭКОЛОГИЧЕСКИ ЧИСТЫХ ТУАЛЕТНЫХ КОМПЛЕКСОВ ПАССАЖИРСКИХ ПОЕЗДОВ,"Киселева С. П., Канунников О. В., Аракелова Г. А., Зозуля П. В.",Управление,2020,Экологические биотехнологии,"железнодорожный транспорт, комплексное обеспечение, охрана окружающей среды, пассажирские поезда, система обезвреживания, технологическое развитие, экологическая безопасность, экологически чистые туалетные комплексы, эколого-экономическое регулирование","integrated support, decontamination system, environmental and economic regulation, environmental protection, environmental safety, environmentally friendly toilet complexes, passenger trains, railway transport, technological development","Обеспечение эколого-ориентированного оборота фекальных отходов пассажирских перевозок необходимо для сохранения экосистем, здоровья населения и устойчивого развития транспортных комплексов. История российских железнодорожных туалетных комплексов начинается с запуска первой железной дороги «Петербург - Царское Село» в 1837 г. В СССР с 1985 г. Министерство путей сообщения СССР задумалось о необходимости проведения опытно-конструкторских работ по созданию замкнутых систем сбора канализационных стоков для пассажирского подвижного состава. Комплекс научных работ по созданию систем и оборудования, обеспечивающих охрану окружающей среды от химического и биологического загрязнения был представлен в программе Железнодорожного транспорта на 1990-2000 гг.В статье рассмотрено негативное влияние фекальных отходов на окружающую среду и здоровье населения, а также проблемы, связанные с сервисным обслуживанием экологически чистых туалетных комплексов пассажирских вагонов. Изложены основные результаты технологического развития туалетных комплексов транспортных систем. Отмечена важность своевременного комплексного обеспечения (инфраструктурного, технического, организационно-экономического, нормативно-правового и нормативно- методического, кадрового, иного) технологического развития туалетных комплексов транспортной отрасли. В частности, рассмотрены некоторые актуальные проблемы инфраструктурного, нормативно-правового и нормативно-методического, организационно-экономического обеспечения эксплуатации и обслуживания экологически чистых туалетных комплексов. Для эффективного функционирования системы экологически чистых туалетных комплексов транспортных систем авторами предложено использовать организационно-методический инструментарий, который позволит систематически определять фактический уровень технологического развития системы обезвреживания фекальных отходов экологически чистых туалетных комплексов пассажирских поездов, разработать направления и мероприятия для повышения ее эколого-экономической эффективности.","Киселева С. П., Канунников О. В., Аракелова Г. А., Зозуля П. В. КОМПЛЕКСНОЕ ОБЕСПЕЧЕНИЕ ТЕХНОЛОГИЧЕСКОГО РАЗВИТИЯ ЭКОЛОГИЧЕСКИ ЧИСТЫХ ТУАЛЕТНЫХ КОМПЛЕКСОВ ПАССАЖИРСКИХ ПОЕЗДОВ // Управление. 2020. №3. URL: https://cyberleninka.ru/article/n/kompleksnoe-obespechenie-tehnologicheskogo-razvitiya-ekologicheski-chistyh-tualetnyh-kompleksov-passazhirskih-poezdov (дата обращения: 25.10.2024).","Киселева С. П., Канунников О. В., Аракелова Г. А., & Зозуля П. В. (2020). КОМПЛЕКСНОЕ ОБЕСПЕЧЕНИЕ ТЕХНОЛОГИЧЕСКОГО РАЗВИТИЯ ЭКОЛОГИЧЕСКИ ЧИСТЫХ ТУАЛЕТНЫХ КОМПЛЕКСОВ ПАССАЖИРСКИХ ПОЕЗДОВ. Управление, 8 (3), 42-52.",https://cyberleninka.ru/article/n/kompleksnoe-obespechenie-tehnologicheskogo-razvitiya-ekologicheski-chistyh-tualetnyh-kompleksov-passazhirskih-poezdov
